"(22, 50)","[1, 2, 1, 4]","[3, 4, 0, 1]",22.5
"(22, 52)","[1, 2, 1, 4]","[3, 4, 2, 1]",22.5
"(23, 32)","[1, 2, 2, 4]","[2, 3, 7, 1]",22.5
"(23, 45)","[1, 2, 2, 4]","[2, 4, 5, 1]",22.5
"(23, 51)","[1, 2, 2, 4]","[3, 4, 1, 1]",22.5
"(23, 53)","[1, 2, 2, 4]","[3, 4, 3, 1]",22.5
"(4, 66)","[1, 2, 4, 1]","[3, 5, 0, 2]",22
"(8, 21)","[1, 2, 8, 1]","[1, 2, 0, 4]",22
"(8, 38)","[1, 2, 8, 1]","[2, 3, 0, 3]",22
"(21, 29)","[1, 2, 0, 4]","[2, 3, 4, 1]",22
"(21, 42)","[1, 2, 0, 4]","[2, 4, 2, 1]",22
"(21, 50)","[1, 2, 0, 4]","[3, 4, 0, 1]",22
"(22, 30)","[1, 2, 1, 4]","[2, 3, 5, 1]",22
"(22, 43)","[1, 2, 1, 4]","[2, 4, 3, 1]",22
"(22, 51)","[1, 2, 1, 4]","[3, 4, 1, 1]",22
"(23, 31)","[1, 2, 2, 4]","[2, 3, 6, 1]",22
"(23, 40)","[1, 2, 2, 4]","[2, 4, 0, 1]",22
"(23, 44)","[1, 2, 2, 4]","[2, 4, 4, 1]",22
"(23, 52)","[1, 2, 2, 4]","[3, 4, 2, 1]",22
"(3, 66)","[1, 2, 3, 1]","[3, 5, 0, 2]",21.5
"(7, 21)","[1, 2, 7, 1]","[1, 2, 0, 4]",21.5
"(7, 38)","[1, 2, 7, 1]","[2, 3, 0, 3]",21.5
"(8, 22)","[1, 2, 8, 1]","[1, 2, 1, 4]",21.5
"(8, 39)","[1, 2, 8, 1]","[2, 3, 1, 3]",21.5
"(21, 28)","[1, 2, 0, 4]","[2, 3, 3, 1]",21.5
"(21, 41)","[1, 2, 0, 4]","[2, 4, 1, 1]",21.5
"(22, 29)","[1, 2, 1, 4]","[2, 3, 4, 1]",21.5
"(22, 40)","[1, 2, 1, 4]","[2, 4, 0, 1]",21.5
"(22, 42)","[1, 2, 1, 4]","[2, 4, 2, 1]",21.5
"(23, 30)","[1, 2, 2, 4]","[2, 3, 5, 1]",21.5
"(23, 41)","[1, 2, 2, 4]","[2, 4, 1, 1]",21.5
"(23, 43)","[1, 2, 2, 4]","[2, 4, 3, 1]",21.5
"(2, 66)","[1, 2, 2, 1]","[3, 5, 0, 2]",21
"(6, 21)","[1, 2, 6, 1]","[1, 2, 0, 4]",21
