"(2, 8)","[1, 2, 4, 3]","[2, 4, 6, 1]",15
"(7, 8)","[2, 3, 1, 3]","[2, 4, 6, 1]",15
"(0, 14)","[1, 2, 8, 1]","[3, 6, 4, 1]",14
"(1, 13)","[1, 2, 6, 2]","[3, 5, 0, 2]",14
"(2, 5)","[1, 2, 4, 3]","[2, 3, 7, 1]",14
"(3, 11)","[1, 2, 2, 4]","[3, 4, 2, 2]",14
"(5, 7)","[2, 3, 7, 1]","[2, 3, 1, 3]",14
"(1, 12)","[1, 2, 6, 2]","[3, 5, 5, 1]",13
"(3, 6)","[1, 2, 2, 4]","[2, 3, 4, 2]",13
"(3, 9)","[1, 2, 2, 4]","[2, 4, 2, 2]",13
"(8, 11)","[2, 4, 6, 1]","[3, 4, 2, 2]",13
"(8, 13)","[2, 4, 6, 1]","[3, 5, 0, 2]",13
"(9, 10)","[2, 4, 2, 2]","[3, 4, 6, 1]",13
"(0, 2)","[1, 2, 8, 1]","[1, 2, 4, 3]",12
"(1, 3)","[1, 2, 6, 2]","[1, 2, 2, 4]",12
"(1, 7)","[1, 2, 6, 2]","[2, 3, 1, 3]",12
"(2, 4)","[1, 2, 4, 3]","[1, 2, 0, 5]",12
"(2, 11)","[1, 2, 4, 3]","[3, 4, 2, 2]",12
"(4, 7)","[1, 2, 0, 5]","[2, 3, 1, 3]",12
"(5, 11)","[2, 3, 7, 1]","[3, 4, 2, 2]",12
"(10, 13)","[3, 4, 6, 1]","[3, 5, 0, 2]",12
"(0, 6)","[1, 2, 8, 1]","[2, 3, 4, 2]",11
"(0, 12)","[1, 2, 8, 1]","[3, 5, 5, 1]",11
"(2, 9)","[1, 2, 4, 3]","[2, 4, 2, 2]",11
"(5, 9)","[2, 3, 7, 1]","[2, 4, 2, 2]",11
"(6, 14)","[2, 3, 4, 2]","[3, 6, 4, 1]",11
"(9, 14)","[2, 4, 2, 2]","[3, 6, 4, 1]",11
"(1, 10)","[1, 2, 6, 2]","[3, 4, 6, 1]",10
"(1, 11)","[1, 2, 6, 2]","[3, 4, 2, 2]",10
"(5, 14)","[2, 3, 7, 1]","[3, 6, 4, 1]",10
"(6, 12)","[2, 3, 4, 2]","[3, 5, 5, 1]",10
"(7, 13)","[2, 3, 1, 3]","[3, 5, 0, 2]",10
"(9, 12)","[2, 4, 2, 2]","[3, 5, 5, 1]",10
"(11, 14)","[3, 4, 2, 2]","[3, 6, 4, 1]",10
"(13, 14)","[3, 5, 0, 2]","[3, 6, 4, 1]",10
"(1, 8)","[1, 2, 6, 2]","[2, 4, 6, 1]",9
"(1, 9)","[1, 2, 6, 2]","[2, 4, 2, 2]",9
"(6, 10)","[2, 3, 4, 2]","[3, 4, 6, 1]",9
"(6, 13)","[2, 3, 4, 2]","[3, 5, 0, 2]",9
"(11, 12)","[3, 4, 2, 2]","[3, 5, 5, 1]",9
"(12, 13)","[3, 5, 5, 1]","[3, 5, 0, 2]",9
"(0, 10)","[1, 2, 8, 1]","[3, 4, 6, 1]",8
"(1, 5)","[1, 2, 6, 2]","[2, 3, 7, 1]",8
"(3, 7)","[1, 2, 2, 4]","[2, 3, 1, 3]",8
"(6, 8)","[2, 3, 4, 2]","[2, 4, 6, 1]",8
"(7, 11)","[2, 3, 1, 3]","[3, 4, 2, 2]",8
"(8, 9)","[2, 4, 6, 1]","[2, 4, 2, 2]",8
"(10, 11)","[3, 4, 6, 1]","[3, 4, 2, 2]",8
"(0, 8)","[1, 2, 8, 1]","[2, 4, 6, 1]",7
"(2, 6)","[1, 2, 4, 3]","[2, 3, 4, 2]",7
"(5, 6)","[2, 3, 7, 1]","[2, 3, 4, 2]",7
"(5, 12)","[2, 3, 7, 1]","[3, 5, 5, 1]",7
"(6, 7)","[2, 3, 4, 2]","[2, 3, 1, 3]",7
"(7, 9)","[2, 3, 1, 3]","[2, 4, 2, 2]",7
"(8, 14)","[2, 4, 6, 1]","[3, 6, 4, 1]",7
"(0, 1)","[1, 2, 8, 1]","[1, 2, 6, 2]",6
"(1, 2)","[1, 2, 6, 2]","[1, 2, 4, 3]",6
"(2, 3)","[1, 2, 4, 3]","[1, 2, 2, 4]",6
"(2, 7)","[1, 2, 4, 3]","[2, 3, 1, 3]",6
"(3, 4)","[1, 2, 2, 4]","[1, 2, 0, 5]",6
"(10, 14)","[3, 4, 6, 1]","[3, 6, 4, 1]",6
"(1, 6)","[1, 2, 6, 2]","[2, 3, 4, 2]",5
"(6, 11)","[2, 3, 4, 2]","[3, 4, 2, 2]",5
"(8, 10)","[2, 4, 6, 1]","[3, 4, 6, 1]",5
"(9, 11)","[2, 4, 2, 2]","[3, 4, 2, 2]",5
"(9, 13)","[2, 4, 2, 2]","[3, 5, 0, 2]",5
"(0, 5)","[1, 2, 8, 1]","[2, 3, 7, 1]",4
"(5, 10)","[2, 3, 7, 1]","[3, 4, 6, 1]",4
"(6, 9)","[2, 3, 4, 2]","[2, 4, 2, 2]",4
"(8, 12)","[2, 4, 6, 1]","[3, 5, 5, 1]",4
"(11, 13)","[3, 4, 2, 2]","[3, 5, 0, 2]",4
"(5, 8)","[2, 3, 7, 1]","[2, 4, 6, 1]",3
"(10, 12)","[3, 4, 6, 1]","[3, 5, 5, 1]",3
"(12, 14)","[3, 5, 5, 1]","[3, 6, 4, 1]",3
